SummID	UserID	Coverage	Faithfulness	Coherence	Interpretation	Feedback	Preference
571789_0claude	571789	3	2	4	4	"I think it's a strong summary. While some facts are wrong, I would give it a B+. It understood the tone, intention, and general plot arc. "	
571789_0gpt4	571789	3	3	4	4	"This was a great summary in the sense that it did analysis that even I — the writer — hadn't done! Very clever. On the other hand, the first half of the summary covers the first 2-3 pages, while the following 10 or so are in the second half (the more important things). So perhaps it gives too much space on the page to the build-up, which is not as critical to an understanding of the story as a whole."	
571789_0llama	571789	3	3	3	2	"This summary took a bit more liberties with meaning and symbolism. I didn't agree with all of its analysis, though it wasn't inherently wrong, just not the intention or what I meant to convey in my story. "	
	571789						"{'1': 'Summary 2', '2': 'Summary 1', '3': 'Summary 3'}"
112332_0claude	112332	3	2	3	3	It was really interesting to read. Due to my recursive style of writing the summary feels slightly repetitive in a way that doesn't parallel the story when the story is read in its original form as story/art.	
112332_0gpt4	112332	3	2	3	3	"it was another interesting opportunity to read a summary of my work. A few details included here that weren't included in the first summary. Still, kind of, humorously redundant. Slight misrepresentation of detail, but helpful to read. "	
112332_0llama	112332	3	3	3	2	"again, very interesting to see the details that are mentioned here but didn't show up in the previous  summaries. This particular summary highlight very petty themes--small--things I wouldn't call themes. I liked that this one mentioned specific details pertaining to the package. "	
112332_1claude	112332_1	3	2	3	4	I really like how and what this summary contextualizes. However it gets some of the details/timeline jumbled. I think the strongest portion of this summary is the beginning. 	
112332_1gpt4	112332_1	3	3	3	4	The strongest portion of this one is the end. The details aren't as smooth or fluid in this one at the beginning. It develops nicely over the summary. 	
112332_1llama	112332_1	3	1	3	3	This one felt the most incorrect in the way it was written but it wasn't all wrong. An underlying vagueness and a few incorrect details.	
	112332_1						"{'1': 'Summary 2', '2': 'Summary 1', '3': 'Summary 3'}"
112332_2claude	112332_2	1	1	1	1	This one made me feel particularly strange. Art is such an important too for processing. I don't like that the summary wasn't able to process a recurring vague nightmare. The summary to me was sad. 	
112332_2gpt4	112332_2	4	3	4	4	Actually this one came out well. The summary is really interesting. It feels ~very correct~ for a someone strange/experimental/vague story. I liked that I could read back what was happening here--it all lined up well. 	
112332_2llama	112332_2	3	1	3	3	It was not a great nor bad summary. There were some solid similarities with the previous summary but this third one was funny in that it created and added big details that I certainly did not include. 	
	112332_2						"{'1': 'Summary 2', '2': 'Summary 3', '3': 'Summary 1'}"
112332_3claude	112332_3	3	1	4	3	It was impressive that it clearly summarized much of my story since I did include some formal curveballs. It got a couple small details wrong but apt in its evaluation of theme/meaning.	
112332_3gpt4	112332_3	3	4	4	3	Most accurate summary I've seen yet. I liked how matter of fact it was. It felt a little cool and clinical but like a useful distance to re-read the facts of the story.	
112332_3llama	112332_3	2	1	3	2	"This one took the most liberties with details and interpretation. What it did get right was right and when it was wrong, boy was it wrong!"	
112332_4claude	112332_4	4	3	3	2	I feel neutral about this one. It feels quick and glossy.	
112332_4gpt4	112332_4	3	3	3	3	The summary is mostly great. It highlights what I imagine should be the highlights. But it also feels a little strangely out of order—it uses my beginning in its ending?	
112332_4llama	112332_4	3	4	3	3	"It definitely leaves a hole at the beginning in the summary which takes away from the weight of the possible coincidence. But everything after what I think is missing, is summarized well. Felt helpful to read."	
	112332_4						"{'1': 'Summary 3', '2': 'Summary 1', '3': 'Summary 2'}"
908932_0claude	908932	4	4	4	3	"Overall the summary provides an impressive overview of the central details of the story. However, Salud La Luz is not a story for which the plot is of particular importance—it is the feel of the story, it's texture, and its careful use of imagery and language which set it apart from other stories about grief and death. This summary fails to capture the style and imagery of the writing, and therefore fails to present what the reader experience will be like. That beings said, the descriptions of themes in the story are certainly accurate and cover all the main points, if in a cursory manner. "	
